Name,model,forward_correction,y_steps,x_eps,feature,mechanism,dataset,y_eps,x_steps,test/acc_mean,test/acc_ci
625630ce-56a9-11ec-a3ee-70b5e8d11ed4,sage,True,16,0.01,raw,mbm,lastfm,2.0,4,66.56691134952004,3.619706380575945
7676cd7a-56a9-11ec-9409-b8cb29ac19e0,sage,True,16,0.01,raw,mbm,lastfm,3.0,2,70.54206662902315,3.1991812535290833
76771992-56a9-11ec-852e-b8cb29acf83f,sage,True,16,0.01,raw,mbm,lastfm,inf,16,66.24505928853755,2.5925324675324752
7678a208-56a9-11ec-afa2-b8cb29acf981,sage,True,16,0.01,raw,mbm,lastfm,2.0,2,71.09542631281762,2.2502823263692733
76791b98-56a9-11ec-8e23-b8cb29adb3da,sage,True,16,0.01,raw,mbm,lastfm,3.0,16,68.5940146809712,3.1904997176736316
7679cc8c-56a9-11ec-b6da-b8cb29ad4aed,sage,True,16,0.01,raw,mbm,lastfm,1.0,16,69.45793337097686,2.5644409937888213
767cb988-56a9-11ec-9456-b8cb29acf83f,sage,True,16,0.01,raw,mbm,lastfm,0.5,0,56.24505928853755,3.6397515527950333
767efd4c-56a9-11ec-84d2-b8cb29acf8f5,sage,True,16,0.01,raw,mbm,lastfm,0.5,4,65.09316770186335,4.066134952004507
7680483c-56a9-11ec-99b4-b8cb29adb3da,sage,True,16,0.01,raw,mbm,lastfm,0.5,2,63.410502540937316,3.6787125917560672
98bbd952-56a9-11ec-88cf-70b5e8d11636,sage,True,16,0.01,raw,mbm,lastfm,3.0,0,59.5990965556183,2.7867730095990915
